GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
combiner-maven-plugin,com.github.jasonmfehr.combiner.factory,ObjectFactory,31,257,0,12,8,50,0,14,0,8
combiner-maven-plugin,com.github.jasonmfehr.combiner.factory,OutputSourceWriterFactory,0,7,0,0,0,3,0,3,0,3
combiner-maven-plugin,com.github.jasonmfehr.combiner.factory,ResourceTransformerFactory,0,7,0,0,0,3,0,3,0,3
combiner-maven-plugin,com.github.jasonmfehr.combiner.factory,InputSourceReaderFactory,0,7,0,0,0,3,0,3,0,3
combiner-maven-plugin,com.github.jasonmfehr.combiner.factory,ResourceCombinerFactory,0,7,0,0,0,3,0,3,0,3
combiner-maven-plugin,com.github.jasonmfehr.combiner.transformer,EscapeDoubleQuotes,0,8,0,0,0,2,0,2,0,2
combiner-maven-plugin,com.github.jasonmfehr.combiner.transformer,StripNewlines,0,8,0,0,0,2,0,2,0,2
combiner-maven-plugin,com.github.jasonmfehr.combiner.pipeline,CombinationValidator,6,174,1,9,1,30,1,8,0,4
combiner-maven-plugin,com.github.jasonmfehr.combiner.pipeline,PipelineExecutor,123,295,1,9,13,50,1,12,0,8
combiner-maven-plugin,com.github.jasonmfehr.combiner.pipeline,CombinationDefaultsManager,4,165,2,22,2,27,2,13,0,3
combiner-maven-plugin,com.github.jasonmfehr.tojs.exception,ObjectInstantiationException,2,5,0,0,1,2,1,1,1,1
combiner-maven-plugin,com.github.jasonmfehr.tojs.exception,NotAssignableException,2,4,0,0,1,2,1,1,1,1
combiner-maven-plugin,com.github.jasonmfehr.tojs.exception,FileCreationException,7,0,0,0,3,0,2,0,2,0
combiner-maven-plugin,com.github.jasonmfehr.tojs.exception,FileSystemLocationNotFound,2,4,0,0,1,2,1,1,1,1
combiner-maven-plugin,com.github.jasonmfehr.tojs.exception,NoResourcesFoundException,2,4,0,0,1,2,1,1,1,1
combiner-maven-plugin,com.github.jasonmfehr.tojs.exception,NotWriteableException,2,4,0,0,1,2,1,1,1,1
combiner-maven-plugin,com.github.jasonmfehr.tojs.exception,AbstractParameterizedException,14,13,0,0,2,6,2,2,2,2
combiner-maven-plugin,com.github.jasonmfehr.tojs.exception,FileExistsException,2,4,0,0,1,2,1,1,1,1
combiner-maven-plugin,com.github.jasonmfehr.tojs.exception,FileWriteException,7,0,0,0,3,0,2,0,2,0
combiner-maven-plugin,com.github.jasonmfehr.tojs.exception,DirectoryCreationException,2,4,0,0,1,2,1,1,1,1
combiner-maven-plugin,com.github.jasonmfehr.tojs.exception,FileReadException,7,0,0,0,3,0,2,0,2,0
combiner-maven-plugin,com.github.jasonmfehr.tojs.exception,NotReadableException,2,4,0,0,1,2,1,1,1,1
combiner-maven-plugin,com.github.jasonmfehr.combiner.file,FileValidator,0,123,0,10,0,24,0,11,0,6
combiner-maven-plugin,com.github.jasonmfehr.combiner.file,MultiFileReader,7,62,0,2,2,12,0,3,0,2
combiner-maven-plugin,com.github.jasonmfehr.combiner.file,FileLocator,0,97,0,6,0,18,0,5,0,2
combiner-maven-plugin,com.github.jasonmfehr.combiner.input,FileInputSourceReader,0,70,0,0,0,10,0,3,0,3
combiner-maven-plugin,com.github.jasonmfehr.combiner.logging,ParameterizedLogger,0,196,0,16,0,58,0,36,0,28
combiner-maven-plugin,com.github.jasonmfehr.combiner.output,FileOutputSourceWriter,15,119,0,8,4,23,0,9,0,5
combiner-maven-plugin,com.github.jasonmfehr.combiner.combiner,JSObjectCombiner,0,155,0,6,0,23,0,8,0,5
combiner-maven-plugin,com.github.jasonmfehr.combiner.combiner,AppendingCombiner,0,59,0,6,0,11,0,5,0,2
combiner-maven-plugin,com.github.jasonmfehr.combiner.mojo,CombinerMojo,0,50,0,2,0,8,0,3,0,2
